glyph_name,sort_final,USV
.notdef,0,
.null,1,
nonmarkingreturn,2,
space,3,0020
exclam,4,0021
quotedbl,5,0022
numbersign,6,0023
dollar,7,0024
percent,8,0025
ampersand,9,0026
quotesingle,10,0027
parenleft,11,0028
parenright,12,0029
asterisk,13,002A
plus,14,002B
comma,15,002C
hyphen,16,002D
period,17,002E
slash,18,002F
zero,19,0030
zero.old,20,
one,21,0031
one.old,22,
two,23,0032
two.old,24,
three,25,0033
three.old,26,
four,27,0034
four.old,28,
five,29,0035
five.old,30,
six,31,0036
six.old,32,
seven,33,0037
seven.old,34,
eight,35,0038
eight.old,36,
nine,37,0039
nine.old,38,
colon,39,003A
semicolon,40,003B
less,41,003C
equal,42,003D
greater,43,003E
question,44,003F
at,45,0040
A,46,0041
B,47,0042
C,48,0043
D,49,0044
E,50,0045
F,51,0046
G,52,0047
H,53,0048
I,54,0049
J,55,004A
K,56,004B
L,57,004C
M,58,004D
N,59,004E
O,60,004F
P,61,0050
Q,62,0051
R,63,0052
S,64,0053
T,65,0054
U,66,0055
V,67,0056
W,68,0057
X,69,0058
Y,70,0059
Z,71,005A
bracketleft,72,005B
backslash,73,005C
bracketright,74,005D
asciicircum,75,005E
underscore,76,005F
grave,77,0060
a,78,0061
b,79,0062
c,80,0063
d,81,0064
e,82,0065
f,83,0066
g,84,0067
h,85,0068
i,86,0069
j,87,006A
k,88,006B
l,89,006C
m,90,006D
n,91,006E
o,92,006F
p,93,0070
q,94,0071
r,95,0072
s,96,0073
t,97,0074
u,98,0075
v,99,0076
w,100,0077
x,101,0078
y,102,0079
z,103,007A
braceleft,104,007B
bar,105,007C
braceright,106,007D
asciitilde,107,007E
uni00A0,108,00A0
exclamdown,109,00A1
cent,110,00A2
sterling,111,00A3
currency,112,00A4
yen,113,00A5
brokenbar,114,00A6
section,115,00A7
dieresis,116,00A8
copyright,117,00A9
ordfeminine,118,00AA
guillemotleft,119,00AB
logicalnot,120,00AC
uni00AD,121,00AD
registered,122,00AE
macron,123,00AF
degree,124,00B0
plusminus,125,00B1
uni00B2,126,00B2
uni00B3,127,00B3
acute,128,00B4
mu,129,00B5
paragraph,130,00B6
periodcentered,131,00B7
cedilla,132,00B8
uni00B9,133,00B9
ordmasculine,134,00BA
guillemotright,135,00BB
onequarter,136,00BC
onehalf,137,00BD
threequarters,138,00BE
questiondown,139,00BF
Agrave,140,00C0
Aacute,141,00C1
Acircumflex,142,00C2
Atilde,143,00C3
Adieresis,144,00C4
Aring,145,00C5
AE,146,00C6
Ccedilla,147,00C7
Egrave,148,00C8
Eacute,149,00C9
Ecircumflex,150,00CA
Edieresis,151,00CB
Igrave,152,00CC
Iacute,153,00CD
Icircumflex,154,00CE
Idieresis,155,00CF
Eth,156,00D0
Ntilde,157,00D1
Ograve,158,00D2
Oacute,159,00D3
Ocircumflex,160,00D4
Otilde,161,00D5
Odieresis,162,00D6
multiply,163,00D7
Oslash,164,00D8
Ugrave,165,00D9
Uacute,166,00DA
Ucircumflex,167,00DB
Udieresis,168,00DC
Yacute,169,00DD
Thorn,170,00DE
germandbls,171,00DF
agrave,172,00E0
aacute,173,00E1
acircumflex,174,00E2
atilde,175,00E3
adieresis,176,00E4
aring,177,00E5
ae,178,00E6
ccedilla,179,00E7
egrave,180,00E8
eacute,181,00E9
ecircumflex,182,00EA
edieresis,183,00EB
igrave,184,00EC
iacute,185,00ED
icircumflex,186,00EE
idieresis,187,00EF
eth,188,00F0
ntilde,189,00F1
ograve,190,00F2
oacute,191,00F3
ocircumflex,192,00F4
otilde,193,00F5
odieresis,194,00F6
divide,195,00F7
oslash,196,00F8
ugrave,197,00F9
uacute,198,00FA
ucircumflex,199,00FB
udieresis,200,00FC
yacute,201,00FD
thorn,202,00FE
ydieresis,203,00FF
dotlessi,204,0131
OE,205,0152
oe,206,0153
Scaron,207,0160
scaron,208,0161
Ydieresis,209,0178
Zcaron,210,017D
zcaron,211,017E
florin,212,0192
glottalstop,213,0294
circumflex,214,02C6
caron,215,02C7
colontriangularmod,216,02D0
breve,217,02D8
dotaccent,218,02D9
ring,219,02DA
ogonek,220,02DB
tilde,221,02DC
hungarumlaut,222,02DD
cgj,223,034F
Omega,224,03A9
pi,225,03C0
danda,226,0964
dandadbl,227,0965
anusvaraabove,228,0D00
mlchandrabindu,229,0D01
anusvara,230,0D02
visarga,231,0D03
ml_a,232,0061
ml_aa,233,
ml_i,234,0069
ml_ii,235,
ml_u,236,0075
ml_uu,237,
ml_r,238,0072
ml_l,239,006C
ml_e,240,0065
ml_ee,241,
ml_ai,242,
ml_o,243,006F
ml_oo,244,
ml_au,245,
k1,246,0D15
k2,247,0D16
k3,248,0D17
k4,249,0D18
ng,250,0D19
ch1,251,0D1A
ch2,252,0D1B
ch3,253,0D1C
ch4,254,0D1D
nj,255,0D1E
t1,256,0D1F
t2,257,0D20
t3,258,0D21
t4,259,0D22
nh,260,0D23
th1,261,0D24
th2,262,0D25
th3,263,0D26
th4,264,0D27
n1,265,0D28
n2,266,0D29
p1,267,0D2A
p2,268,0D2B
p3,269,0D2C
p4,270,0D2D
m1,271,0D2E
y1,272,0D2F
r3,273,0D30
rh,274,0D31
l3,275,0D32
lh,276,0D33
zh,277,0D34
v1,278,0D35
z1,279,0D36
sh,280,0D37
s1,281,0D38
h1,282,0D39
t0,283,0D3A
verticalbarvirama,284,0D3B
circularvirama,285,0D3C
avagraha,286,0D3D
a2,287,0D3E
i1,288,0D3F
i2,289,0D40
u1,290,0D41
u2,291,0D42
r1,292,0D43
r2,293,0D44
e1,294,0D46
e2,295,0D47
ai1,296,0D48
o1,297,0D4A
o2,298,0D4B
au1,299,0D4C
xx,300,0D4D
dotreph,301,0D4E
au2,302,0D57
orumaa,303,0D5B
archaic_ii,304,
ml_rr,305,
ml_ll,306,
l1,307,0D62
l2,308,0D63
ml_0,309,
ml_1,310,
ml_2,311,
ml_3,312,
ml_4,313,
ml_5,314,
ml_6,315,
ml_7,316,
ml_8,317,
ml_9,318,
ml_10,319,
ml_100,320,
ml_1000,321,
ml_quarter,322,
ml_half,323,
ml_3quarter,324,
maakaani,325,0D76
datemark,326,0D79
nhcil,327,0D7A
n1cil,328,0D7B
r3cil,329,0D7C
l3cil,330,0D7D
lhcil,331,0D7E
k1cil,332,0D7F
enquad,333,2000
emquad,334,2001
enspace,335,2002
emspace,336,2003
threeperemspace,337,2004
fourperemspace,338,2005
sixperemspace,339,2006
figurespace,340,2007
punctuationspace,341,2008
thinspace,342,2009
hairspace,343,200A
zwsp,344,200B
ZWNJ,345,200C
ZWJ,346,200D
hyphentwo,347,2010
nbhyphen,348,2011
figuredash,349,2012
endash,350,2013
emdash,351,2014
horizontalbar,352,2015
quoteleft,353,2018
quoteright,354,2019
quotesinglbase,355,201A
quotedblleft,356,201C
quotedblright,357,201D
quotedblbase,358,201E
dagger,359,2020
daggerdbl,360,2021
bullet,361,2022
ellipsis,362,2026
hyphenationpoint,363,2027
lineseparator,364,2028
paragraphseparator,365,2029
nnbspace,366,202F
perthousand,367,2030
guilsinglleft,368,2039
guilsinglright,369,203A
fraction,370,2044
wj,371,2060
zerosuperior,372,2070
uni2074,373,2074
fivesuperior,374,2075
sixsuperior,375,2076
sevensuperior,376,2077
eightsuperior,377,2078
ninesuperior,378,2079
hyphensuperior,379,207B
parenleftsuperior,380,207D
parenrightsuperior,381,207E
rs,382,20A8
Euro,383,20AC
rupee,384,20B9
trademark,385,2122
Ohm,386,2126
partialdiff,387,2202
Delta,388,2206
product,389,220F
summation,390,2211
minus,391,2212
divisionslash,392,2215
bulletoperator,393,2219
radical,394,221A
infinity,395,221E
integral,396,222B
approxequal,397,2248
notequal,398,2260
lessequal,399,2264
greaterequal,400,2265
ceilingleft,401,2308
ceilingright,402,2309
floorleft,403,230A
floorright,404,230B
cornerlefttop,405,231C
cornerrighttop,406,231D
cornerleftbottom,407,231E
cornerrightbottom,408,231F
openbox,409,2423
lozenge,410,25CA
uni25CC,411,25CC
halfbracketlefttop,412,2E22
halfbracketrighttop,413,2E23
halfbracketleftbottom,414,2E24
halfbracketrightbottom,415,2E25
sidebearingleft,416,F130
sidebearingright,417,F131
fi,418,FB01
fl,419,FB02
VS1,420,FE00
VS2,421,FE01
VS3,422,FE02
VS4,423,FE03
VS5,424,FE04
VS6,425,FE05
VS7,426,FE06
VS8,427,FE07
VS9,428,FE08
VS10,429,FE09
VS11,430,FE0A
VS12,431,FE0B
VS13,432,FE0C
VS14,433,FE0D
VS15,434,FE0E
VS16,435,FE0F
zwnbsp,436,FEFF
objectReplacementCharacter,437,FFFC
replacementCharacter,438,FFFD
GrCapPi,439,
HyphenMinus,440,
LtnCapEsh,441,
LtnSmF,442,
LtnSmI,443,
LtnSmL,444,
MiddleDot,445,
ModBeginHighTn,446,
ModBeginLowTn,447,
ModEndHighTn,448,
ModEndLowTn,449,
NULL,450,
_1,451,
_2,452,
_3,453,
_5,454,
_6,455,
ch1ch1,456,
ch1ch1u1,457,
ch1ch1u2,458,
ch1ch2,459,
ch1ch2r1,460,
ch1ch2r3,461,
ch1ch2r3u1,462,
ch1ch2r3u2,463,
ch1ch2u1,464,
ch1ch2u2,465,
ch1u1,466,
ch1u2,467,
ch1xx,468,
ch2r1,469,
ch2r3,470,
ch2r3u1,471,
ch2r3u2,472,
ch2u1,473,
ch2u2,474,
ch2xx,475,
ch3ch3,476,
ch3ch3r1,477,
ch3ch3u1,478,
ch3ch3u2,479,
ch3nj,480,
ch3nju1,481,
ch3nju2,482,
ch3r1,483,
ch3r2,484,
ch3r3,485,
ch3r3u1,486,
ch3r3u2,487,
ch3u1,488,
ch3u2,489,
ch3xx,490,
ch4r1,491,
ch4r2,492,
ch4r3,493,
ch4r3u1,494,
ch4r3u2,495,
ch4u1,496,
ch4u2,497,
ch4xx,498,
h1l3,499,
h1l3u1,500,
h1l3u2,501,
h1m1,502,
h1m1r1,503,
h1m1u1,504,
h1m1u2,505,
h1n1,506,
h1n1u1,507,
h1n1u2,508,
h1r1,509,
h1r3,510,
h1r3u1,511,
h1r3u2,512,
h1u1,513,
h1u2,514,
h1xx,515,
k1k1,516,
k1k1r1,517,
k1k1r3,518,
k1k1r3u1,519,
k1k1r3u2,520,
k1k1u1,521,
k1k1u2,522,
k1l1,523,
k1l3,524,
k1l3u1,525,
k1l3u2,526,
k1m1,527,
k1m1u1,528,
k1m1u2,529,
k1n1,530,
k1n1u1,531,
k1n1u2,532,
k1nh,533,
k1nhu1,534,
k1nhu2,535,
k1r1,536,
k1r2,537,
k1r3,538,
k1r3u1,539,
k1r3u2,540,
k1rhrh,541,
k1rhrhu1,542,
k1rhrhu2,543,
k1s1,544,
k1s1r1,545,
k1s1u1,546,
k1s1u2,547,
k1sh,548,
k1shm1,549,
k1shm1r1,550,
k1shm1u1,551,
k1shm1u2,552,
k1shnh,553,
k1shnhu1,554,
k1shnhu2,555,
k1shr1,556,
k1shu1,557,
k1shu2,558,
k1t1,559,
k1t1r3,560,
k1t1r3u1,561,
k1t1r3u2,562,
k1t1u1,563,
k1t1u2,564,
k1th1,565,
k1th1r1,566,
k1th1r2,567,
k1th1r3,568,
k1th1r3u1,569,
k1th1r3u2,570,
k1th1u1,571,
k1th1u2,572,
k1u1,573,
k1u2,574,
k1xx,575,
k2r1,576,
k2u1,577,
k2u2,578,
k2xx,579,
k3k3,580,
k3k3r1,581,
k3k3u1,582,
k3k3u2,583,
k3k4,584,
k3k4r1,585,
k3k4u1,586,
k3k4u2,587,
k3l3,588,
k3l3u1,589,
k3l3u2,590,
k3m1,591,
k3m1u1,592,
k3m1u2,593,
k3n1,594,
k3n1u1,595,
k3n1u2,596,
k3r1,597,
k3r2,598,
k3r3,599,
k3r3u1,600,
k3r3u2,601,
k3th3,602,
k3th3r1,603,
k3th3th4,604,
k3th3th4r1,605,
k3th3th4r3,606,
k3th3th4r3u1,607,
k3th3th4r3u2,608,
k3th3th4u1,609,
k3th3th4u2,610,
k3th3u1,611,
k3th3u2,612,
k3u1,613,
k3u2,614,
k3xx,615,
k4n1,616,
k4n1u1,617,
k4n1u2,618,
k4r1,619,
k4r2,620,
k4r3,621,
k4r3u1,622,
k4r3u2,623,
k4u1,624,
k4u2,625,
k4xx,626,
l3ch1,627,
l3ch1u1,628,
l3ch1u2,629,
l3k1,630,
l3k1k1,631,
l3k1k1u1,632,
l3k1k1u2,633,
l3k1r1,634,
l3k1u1,635,
l3k1u2,636,
l3k3,637,
l3k3r1,638,
l3k3u1,639,
l3k3u2,640,
l3l3,641,
l3l3u1,642,
l3l3u2,643,
l3m1,644,
l3m1u1,645,
l3m1u2,646,
l3p1,647,
l3p1r3,648,
l3p1r3u1,649,
l3p1r3u2,650,
l3p1u1,651,
l3p1u2,652,
l3p2,653,
l3p2u1,654,
l3p2u2,655,
l3p3,656,
l3p3u1,657,
l3p3u2,658,
l3r1,659,
l3th1,660,
l3th1r1,661,
l3th1th1,662,
l3th1th1u1,663,
l3th1th1u2,664,
l3th1u1,665,
l3th1u2,666,
l3u1,667,
l3u2,668,
l3xx,669,
l4,670,
lhlh,671,
lhlhu1,672,
lhlhu2,673,
lhu1,674,
lhu2,675,
lhxx,676,
m1l3,677,
m1l3u1,678,
m1l3u2,679,
m1m1,680,
m1m1r1,681,
m1m1u1,682,
m1m1u2,683,
m1n1,684,
m1n1u1,685,
m1n1u2,686,
m1p1,687,
m1p1r1,688,
m1p1r3,689,
m1p1r3u1,690,
m1p1r3u2,691,
m1p1u1,692,
m1p1u2,693,
m1r1,694,
m1r2,695,
m1r3,696,
m1r3u1,697,
m1r3u2,698,
m1u1,699,
m1u2,700,
m1xx,701,
middot,702,
n1m1,703,
n1m1r1,704,
n1m1r3,705,
n1m1r3u1,706,
n1m1r3u2,707,
n1m1u1,708,
n1m1u2,709,
n1n1,710,
n1n1r1,711,
n1n1r3,712,
n1n1r3u1,713,
n1n1r3u2,714,
n1n1u1,715,
n1n1u2,716,
n1r1,717,
n1r2,718,
n1r3,719,
n1r3u1,720,
n1r3u2,721,
n1rh,722,
n1rhu1,723,
n1rhu2,724,
n1th1,725,
n1th1r1,726,
n1th1r2,727,
n1th1r3,728,
n1th1r3u1,729,
n1th1r3u2,730,
n1th1u1,731,
n1th1u2,732,
n1th2,733,
n1th2r1,734,
n1th2r2,735,
n1th2u1,736,
n1th2u2,737,
n1th3,738,
n1th3r1,739,
n1th3r3,740,
n1th3r3u1,741,
n1th3r3u2,742,
n1th3u1,743,
n1th3u2,744,
n1th4,745,
n1th4r1,746,
n1th4r3,747,
n1th4r3u1,748,
n1th4r3u2,749,
n1th4u1,750,
n1th4u2,751,
n1u1,752,
n1u2,753,
n1xx,754,
ngk1,755,
ngk1r1,756,
ngk1u1,757,
ngk1u2,758,
ngng,759,
ngngu1,760,
ngngu2,761,
ngu1,762,
ngu2,763,
ngxx,764,
nhm1,765,
nhm1u1,766,
nhm1u2,767,
nhnh,768,
nhnhu1,769,
nhnhu2,770,
nht1,771,
nht1r3,772,
nht1r3u1,773,
nht1r3u2,774,
nht1u1,775,
nht1u2,776,
nht2,777,
nht3,778,
nht3r1,779,
nht3r3,780,
nht3r3u1,781,
nht3r3u2,782,
nht3u1,783,
nht3u2,784,
nht4,785,
nht4r1,786,
nht4u1,787,
nht4u2,788,
nhu1,789,
nhu2,790,
nhxx,791,
njch1,792,
njch1r1,793,
njch1u1,794,
njch1u2,795,
njch2,796,
njch2r1,797,
njch2u1,798,
njch2u2,799,
njch3,800,
njch3u1,801,
njch3u2,802,
njnj,803,
njnju1,804,
njnju2,805,
nju1,806,
nju2,807,
njxx,808,
p1l3,809,
p1l3u1,810,
p1l3u2,811,
p1n1,812,
p1n1u1,813,
p1n1u2,814,
p1p1,815,
p1p1r1,816,
p1p1u1,817,
p1p1u2,818,
p1p2,819,
p1p2u1,820,
p1p2u2,821,
p1r1,822,
p1r2,823,
p1r3,824,
p1r3u1,825,
p1r3u2,826,
p1s1,827,
p1s1r1,828,
p1s1r3,829,
p1s1r3u1,830,
p1s1r3u2,831,
p1s1u1,832,
p1s1u2,833,
p1t1,834,
p1t1u1,835,
p1t1u2,836,
p1th1,837,
p1th1r1,838,
p1th1r2,839,
p1th1u1,840,
p1th1u2,841,
p1u1,842,
p1u2,843,
p1xx,844,
p2k1,845,
p2k1u1,846,
p2k1u2,847,
p2l3,848,
p2l3u1,849,
p2l3u2,850,
p2m1,851,
p2m1u1,852,
p2m1u2,853,
p2n1,854,
p2n1u1,855,
p2n1u2,856,
p2p1,857,
p2p1u1,858,
p2p1u2,859,
p2r3,860,
p2r3u1,861,
p2r3u2,862,
p2rhrh,863,
p2rhrhu1,864,
p2rhrhu2,865,
p2s1,866,
p2s1r1,867,
p2s1u1,868,
p2s1u2,869,
p2t1,870,
p2t1u1,871,
p2t1u2,872,
p2th1,873,
p2th1r1,874,
p2th1u1,875,
p2th1u2,876,
p2u1,877,
p2u2,878,
p2xx,879,
p3ch3,880,
p3ch3r1,881,
p3ch3u1,882,
p3ch3u2,883,
p3k3,884,
p3k3r1,885,
p3k3u1,886,
p3k3u2,887,
p3l3,888,
p3l3u1,889,
p3l3u2,890,
p3n1,891,
p3n1u1,892,
p3n1u2,893,
p3p3,894,
p3p3u1,895,
p3p3u2,896,
p3p4,897,
p3r1,898,
p3r3,899,
p3r3u1,900,
p3r3u2,901,
p3th3,902,
p3th3r1,903,
p3th3u1,904,
p3th3u2,905,
p3th4,906,
p3th4r1,907,
p3th4r2,908,
p3th4u1,909,
p3th4u2,910,
p3u1,911,
p3u2,912,
p3xx,913,
p4r1,914,
p4r2,915,
p4r3,916,
p4r3u1,917,
p4r3u2,918,
p4u1,919,
p4u2,920,
p4xx,921,
r3r1,922,
r3u1,923,
r3u2,924,
r3xx,925,
r4,926,
rhrh,927,
rhrhu1,928,
rhrhu2,929,
rhu1,930,
rhu2,931,
rhxx,932,
s1k1,933,
s1k1k1,934,
s1k1k1r1,935,
s1k1k1u1,936,
s1k1k1u2,937,
s1k1r1,938,
s1k1r3,939,
s1k1r3u1,940,
s1k1r3u2,941,
s1k1u1,942,
s1k1u2,943,
s1k2,944,
s1k2u1,945,
s1k2u2,946,
s1l3,947,
s1l3u1,948,
s1l3u2,949,
s1m1,950,
s1m1r1,951,
s1m1u1,952,
s1m1u2,953,
s1n1,954,
s1n1u1,955,
s1n1u2,956,
s1p1,957,
s1p1r1,958,
s1p1r3,959,
s1p1r3u1,960,
s1p1r3u2,961,
s1p1u1,962,
s1p1u2,963,
s1p2,964,
s1p2u1,965,
s1p2u2,966,
s1r1,967,
s1r2,968,
s1r3,969,
s1r3u1,970,
s1r3u2,971,
s1rhrh,972,
s1rhrhr3,973,
s1rhrhr3u1,974,
s1rhrhr3u3,975,
s1rhrhu1,976,
s1rhrhu2,977,
s1s1,978,
s1s1r1,979,
s1s1r3,980,
s1s1r3u1,981,
s1s1r3u2,982,
s1s1u1,983,
s1s1u2,984,
s1t1,985,
s1t1r3,986,
s1t1r3u1,987,
s1t1r3u2,988,
s1t1u1,989,
s1t1u2,990,
s1th1,991,
s1th1r1,992,
s1th1r2,993,
s1th1r3,994,
s1th1r3u1,995,
s1th1r3u2,996,
s1th1u1,997,
s1th1u2,998,
s1th2,999,
s1th2r1,1000,
s1th2u1,1001,
s1th2u2,1002,
s1u1,1003,
s1u2,1004,
s1xx,1005,
shk1,1006,
shk1k1,1007,
shk1k1r1,1008,
shk1k1u1,1009,
shk1k1u2,1010,
shk1r1,1011,
shk1r3,1012,
shk1r3u1,1013,
shk1r3u2,1014,
shk1u1,1015,
shk1u2,1016,
shm1,1017,
shm1r3,1018,
shm1r3u1,1019,
shm1r3u2,1020,
shm1u1,1021,
shm1u2,1022,
shnh,1023,
shnhu1,1024,
shnhu2,1025,
shp1,1026,
shp1r1,1027,
shp1r3,1028,
shp1r3u1,1029,
shp1r3u2,1030,
shp1u1,1031,
shp1u2,1032,
shp2,1033,
shp2u1,1034,
shp2u2,1035,
shr1,1036,
sht1,1037,
sht1r1,1038,
sht1r2,1039,
sht1r3,1040,
sht1r3u1,1041,
sht1r3u2,1042,
sht1u1,1043,
sht1u2,1044,
sht2,1045,
sht2u1,1046,
sht2u2,1047,
shu1,1048,
shu2,1049,
shxx,1050,
t1r1,1051,
t1r2,1052,
t1r3,1053,
t1r3u1,1054,
t1r3u2,1055,
t1t1,1056,
t1t1u1,1057,
t1t1u2,1058,
t1u1,1059,
t1u2,1060,
t1xx,1061,
t2u1,1062,
t2u2,1063,
t2xx,1064,
t3m1,1065,
t3m1r1,1066,
t3m1u1,1067,
t3m1u2,1068,
t3r1,1069,
t3r3,1070,
t3r3u1,1071,
t3r3u2,1072,
t3t3,1073,
t3t3u1,1074,
t3t3u2,1075,
t3t4,1076,
t3t4u1,1077,
t3t4u2,1078,
t3u1,1079,
t3u2,1080,
t3xx,1081,
t4r1,1082,
t4r3,1083,
t4r3u1,1084,
t4r3u2,1085,
t4u1,1086,
t4u2,1087,
t4xx,1088,
th1l3,1089,
th1l3u1,1090,
th1l3u2,1091,
th1m1,1092,
th1m1r1,1093,
th1m1u1,1094,
th1m1u2,1095,
th1n1,1096,
th1p4,1097,
th1p4r1,1098,
th1p4u1,1099,
th1p4u2,1100,
th1r1,1101,
th1r2,1102,
th1r3,1103,
th1r3u1,1104,
th1r3u2,1105,
th1s1,1106,
th1s1m1,1107,
th1s1m1r1,1108,
th1s1m1u1,1109,
th1s1m1u2,1110,
th1s1n1,1111,
th1s1n1u1,1112,
th1s1n1u2,1113,
th1s1r1,1114,
th1s1r2,1115,
th1s1r3,1116,
th1s1r3u1,1117,
th1s1r3u2,1118,
th1s1th2,1119,
th1s1th2r1,1120,
th1s1th2u1,1121,
th1s1th2u2,1122,
th1s1u1,1123,
th1s1u2,1124,
th1th1,1125,
th1th1r1,1126,
th1th1r2,1127,
th1th1r3,1128,
th1th1r3u1,1129,
th1th1r3u2,1130,
th1th1u1,1131,
th1th1u2,1132,
th1th2,1133,
th1th2r1,1134,
th1th2u1,1135,
th1th2u2,1136,
th1u1,1137,
th1u2,1138,
th1xx,1139,
th2m1,1140,
th2m1r1,1141,
th2m1u1,1142,
th2m1u2,1143,
th2n1,1144,
th2n1u1,1145,
th2n1u2,1146,
th2u1,1147,
th2u2,1148,
th2xx,1149,
th3r1,1150,
th3r2,1151,
th3r3,1152,
th3r3u1,1153,
th3r3u2,1154,
th3th3,1155,
th3th3r1,1156,
th3th3r2,1157,
th3th3u1,1158,
th3th3u2,1159,
th3th4,1160,
th3th4m1,1161,
th3th4m1r1,1162,
th3th4m1u1,1163,
th3th4m1u2,1164,
th3th4n1,1165,
th3th4n1u1,1166,
th3th4n1u2,1167,
th3th4r1,1168,
th3th4r2,1169,
th3th4r3,1170,
th3th4r3u1,1171,
th3th4r3u2,1172,
th3th4u1,1173,
th3th4u2,1174,
th3u1,1175,
th3u2,1176,
th3xx,1177,
th4m1,1178,
th4m1r1,1179,
th4m1u1,1180,
th4m1u2,1181,
th4n1,1182,
th4n1u1,1183,
th4n1u2,1184,
th4r1,1185,
th4r2,1186,
th4r3,1187,
th4r3u1,1188,
th4r3u2,1189,
th4u1,1190,
th4u2,1191,
th4xx,1192,
v1l3,1193,
v1l3u1,1194,
v1l3u2,1195,
v1r1,1196,
v1r3,1197,
v1r3u1,1198,
v1r3u2,1199,
v1u1,1200,
v1u2,1201,
v1v1,1202,
v1v1u1,1203,
v1v1u2,1204,
v1xx,1205,
v2,1206,
y1ch1,1207,
y1ch1u1,1208,
y1ch1u2,1209,
y1k1,1210,
y1k1k1,1211,
y1k1k1u1,1212,
y1k1k1u2,1213,
y1k1r1,1214,
y1k1u1,1215,
y1k1u2,1216,
y1m1,1217,
y1m1r1,1218,
y1m1u1,1219,
y1m1u2,1220,
y1n1,1221,
y1n1u1,1222,
y1n1u2,1223,
y1p1,1224,
y1p1r1,1225,
y1p1u1,1226,
y1p1u2,1227,
y1r1,1228,
y1th1,1229,
y1th1r1,1230,
y1th1th1,1231,
y1th1th1r1,1232,
y1th1th1u1,1233,
y1th1th1u2,1234,
y1th1u1,1235,
y1th1u2,1236,
y1u1,1237,
y1u2,1238,
y1xx,1239,
y1y1,1240,
y1y1u1,1241,
y1y1u2,1242,
y2,1243,
y2u1,1244,
y2u2,1245,
z1ch1,1246,
z1ch1r1,1247,
z1ch1u1,1248,
z1ch1u2,1249,
z1ch2,1250,
z1ch2r1,1251,
z1ch2u1,1252,
z1ch2u2,1253,
z1l3,1254,
z1l3u1,1255,
z1l3u2,1256,
z1m1,1257,
z1m1r1,1258,
z1m1u1,1259,
z1m1u2,1260,
z1n1,1261,
z1n1u1,1262,
z1n1u2,1263,
z1r1,1264,
z1r3,1265,
z1r3u1,1266,
z1r3u2,1267,
z1u1,1268,
z1u2,1269,
z1xx,1270,
z1z1,1271,
z1z1r1,1272,
z1z1r3,1273,
z1z1r3u1,1274,
z1z1r3u2,1275,
z1z1u1,1276,
z1z1u2,1277,
zhch1,1278,
zhch1u1,1279,
zhch1u2,1280,
zhk1,1281,
zhk1k1,1282,
zhk1k1u1,1283,
zhk1k1u2,1284,
zhk1u1,1285,
zhk1u2,1286,
zhm1,1287,
zhm1u1,1288,
zhm1u2,1289,
zhn1,1290,
zhn1n1,1291,
zhn1n1u1,1292,
zhn1n1u2,1293,
zhn1u1,1294,
zhn1u2,1295,
zhp1,1296,
zhp1u1,1297,
zhp1u2,1298,
zhs1,1299,
zhs1u1,1300,
zhs1u2,1301,
zhth1,1302,
zhth1th1,1303,
zhth1th1u1,1304,
zhth1th1u2,1305,
zhth1u1,1306,
zhth1u2,1307,
zhu1,1308,
zhu2,1309,
zhv1,1310,
zhv1u1,1311,
zhv1u2,1312,
zhxx,1313,
